AÃ±o,Trimestre,Provincia,Mbps (Media de bajada)
2018,3,Buenos Aires,1678
2018,3,Capital Federal,2164
2018,3,Catamarca,7810
2018,3,Chaco,1289
2018,3,Chubut,6080
2018,3,CÃ³rdoba,1482
2018,3,Corrientes,1149
2018,3,Entre RÃ­os,1052
2018,3,Formosa,9320
2018,3,Jujuy,7670
2018,3,La Pampa,4280
2018,3,La Rioja,6160
2018,3,Mendoza,5790
2018,3,Misiones,1249
2018,3,NeuquÃ©n,1467
2018,3,RÃ­o Negro,1006
2018,3,Salta,9270
2018,3,San Juan,5740
2018,3,San Luis,8810
2018,3,Santa Cruz,5370
2018,3,Santa Fe,1236
2018,3,Santiago Del Estero,5780
2018,3,Tierra Del Fuego,5990
2018,3,TucumÃ¡n,1526
2018,2,Buenos Aires,1468
2018,2,Capital Federal,1894
2018,2,Catamarca,7690
2018,2,Chaco,125
2018,2,Chubut,5330
2018,2,CÃ³rdoba,1388
2018,2,Corrientes,1088
2018,2,Entre RÃ­os,1019
2018,2,Formosa,8970
2018,2,Jujuy,6290
2018,2,La Pampa,4100
2018,2,La Rioja,5590
2018,2,Mendoza,5880
2018,2,Misiones,1176
2018,2,NeuquÃ©n,1337
2018,2,RÃ­o Negro,9510
2018,2,Salta,8930
2018,2,San Juan,5850
2018,2,San Luis,5900
2018,2,Santa Cruz,5190
2018,2,Santa Fe,1175
2018,2,Santiago Del Estero,5910
2018,2,Tierra Del Fuego,5940
2018,2,TucumÃ¡n,1351
2018,1,Buenos Aires,142
2018,1,Capital Federal,1775
2018,1,Catamarca,8200
2018,1,Chaco,1244
2018,1,Chubut,5420
2018,1,CÃ³rdoba,1279
2018,1,Corrientes,1112
2018,1,Entre RÃ­os,9880
2018,1,Formosa,1106
2018,1,Jujuy,6740
2018,1,La Pampa,4000
2018,1,La Rioja,5890
2018,1,Mendoza,5880
2018,1,Misiones,1208
2018,1,NeuquÃ©n,1196
2018,1,RÃ­o Negro,8980
2018,1,Salta,9190
2018,1,San Juan,5850
2018,1,San Luis,5890
2018,1,Santa Cruz,5190
2018,1,Santa Fe,1117
2018,1,Santiago Del Estero,6250
2018,1,Tierra Del Fuego,5770
2018,1,TucumÃ¡n,9360
2017,4,Buenos Aires,1297
2017,4,Capital Federal,152
2017,4,Catamarca,7780
2017,4,Chaco,117
2017,4,Chubut,5410
2017,4,CÃ³rdoba,1164
2017,4,Corrientes,1038
2017,4,Entre RÃ­os,9300
2017,4,Formosa,1011
2017,4,Jujuy,6640
2017,4,La Pampa,3980
2017,4,La Rioja,5880
2017,4,Mendoza,5710
2017,4,Misiones,1132
2017,4,NeuquÃ©n,1072
2017,4,RÃ­o Negro,8050
2017,4,Salta,8450
2017,4,San Juan,5830
2017,4,San Luis,5730
2017,4,Santa Cruz,5210
2017,4,Santa Fe,103
2017,4,Santiago Del Estero,6170
2017,4,Tierra Del Fuego,5200
2017,4,TucumÃ¡n,9110
2017,3,Buenos Aires,8430
2017,3,Capital Federal,1064
2017,3,Catamarca,5260
2017,3,Chaco,8480
2017,3,Chubut,3480
2017,3,CÃ³rdoba,9120
2017,3,Corrientes,7450
2017,3,Entre RÃ­os,6990
2017,3,Formosa,7070
2017,3,Jujuy,4690
2017,3,La Pampa,3440
2017,3,La Rioja,5010
2017,3,Mendoza,3510
2017,3,Misiones,8430
2017,3,NeuquÃ©n,8170
2017,3,RÃ­o Negro,5490
2017,3,Salta,6130
2017,3,San Juan,3450
2017,3,San Luis,3500
2017,3,Santa Cruz,3610
2017,3,Santa Fe,7790
2017,3,Santiago Del Estero,5180
2017,3,Tierra Del Fuego,3480
2017,3,TucumÃ¡n,6390
2017,2,Buenos Aires,7200
